image-src,image-alt,title,paragraph,link,link-text
https://www.lib.uidaho.edu/media/carousel/library_tower_sun_sm.jpg,library tower with sun setting behind,New Hours,"The Library has new hours for Fall 2026, open 7am - midnight Monday to Thursday. Check our hours page for full details and closures.",https://www.lib.uidaho.edu/about/hours.html,Hours,
https://www.lib.uidaho.edu/media/carousel/christin-hume-mfB1B1s4sMc-unsplash_sm.jpg,laptop with person typing,Help is available 24/7!,"Don't know where to start on that assignment? Ask a librarian! Get research help 24 hours a day via chat.",/help/,Library Assistance,
https://objects.lib.uidaho.edu/campus/small/campus01768_sm.jpg,group of people writing in notebooks at a table,Workshops and Events,"Join us to discover intriguing scholarship, learn about tools that impact your research, or kick start a new project!",https://www.lib.uidaho.edu/services/workshops/,Schedule
https://www.lib.uidaho.edu/media/carousel/podcasting_station_sm.jpg,"two people with microphones with a neon sign saying The Studio",The Studio,"The Studio offers dedicated space to students, staff, faculty, and the community to record, edit, and digitize audiovisual content.",https://www.lib.uidaho.edu/studio/,More Information
https://www.lib.uidaho.edu/media/carousel/aerial-imagery-app_sm.jpg,Aerial shot of Moscow Idaho,Geospatial and Data Sciences Support,"The Data Hub provides support in the areas of GIS, data analysis, visualization, and research data management.",/datahub/,Data Hub
https://www.lib.uidaho.edu/media/mill/2209_LIB_Portraits_Stock_960884284_MH-72_sm.jpg,"people working on an art project",Visit The MILL,"Join us for workshops every week at the library's Making, Innovating, and Learning Laboratory (MILL)",https://www.lib.uidaho.edu/mill/,MILL Website
