title,description,link,img,hidden
Troubleshooting & Support,"This guide covers fixes for the most common issues encountered with Studio equipment",/studio/troubleshooting.html,
MPK mini - Quick Reference Guide,"This tutorial covers the basics of using the MPK mini in the Studio editing station.",/studio/mpkmini.html,AKAIMPKMini.jpg,
Podcast and Voiceover Recording Using RØDECaster Pro II,"This tutorial covers the basics of using RØDECaster Pro II to record a podcast or voiceover.",/studio/rodecaster.html,RODECaster.jpg,
Audio Recording and Editing Using Software Audacity,"This tutorial covers the basics of using the open-source software Audacity and audio interface Scarlett 18i20 in the Studio to record and edit audio.",/studio/audacity.html,audacitylogo.png,
Scarlett 16i16 - Audio Interface Quick Guide,"This tutorial covers the basics of using the audio interface Scarlett 16i16 in the Studio WhisperRoom (Sound Isolation Booth).",/studio/scarlett16i16.html,16i16.png,
Scarlett 18i20 - Audio Interface Quick Guide,"This tutorial covers the basics of using the audio interface Scarlett 18i20 in the Studio editing station.",/studio/scarlett18i20.html,AudioInterface.jpg,
Studio LED Sign User Guide,"This tutorial covers the basics of using the Studio LED sign and its remote.",/studio/led.html,studio_sign.png,
Teaching with eGlass,"This tutorial covers the basics of using eGlass for synchronous online instruction or creating videos for asynchronous learning.",/studio/eglass.html,eglass.jpg,true
Tips on Microphone Technique,"This tutorial covers essential microphone techniques, including proper positioning, gain adjustment, plosive control, and using the proximity effect to enhance sound quality.",/studio/mictechnique.html,microphone_end.png,
