item,category,description,image,replacement_cost,quantity,product_link
iMac,Computers,"The Retina 5K, 27-inch iMac features the following software applications installed on the machine: Adobe Creative Cloud applications (Premiere, Photoshop, Illustrator, Audition, After Effects, etc.), Logic Pro X, MainStage, GarageBand, Audacity, Final Cut Pro, iMovie, Camtasia, and more. ",iMac.jpg,"$2,300",1,https://www.apple.com/shop/buy-mac/imac-imac/27-inch-3.8ghz-8-core-processor-with-turbo-boost-up-to-5.0ghz-512gb
Monitor,Computer Accessories,"The 32″ full-HD VicTek monitor has a 20,000:1 dynamic contrast ratio for deeper blacks and brighter whites and 60Hz refresh rate for continually bright images.",Monitor.jpg,$250,1,https://www.amazon.com/VIOTEK-Computer-Monitor-1920x1080-H320/dp/B01J4ES6WQ/
Focusrite Scarlett 18i20 3rd Generation USB Audio Interface,Audio Equipment,"The Scarlett 18i20 is a high-quality, 18-in, 20-out USB audio interface with eight 3rd Generation mic preamps, Air mode, talkback mic, loopback and more. It comes with Ableton Live Lite, Pro Tools Artist and Hitmaker Expansion plugins for music production.",AudioInterface.jpg,"$1,500",1,https://www.amazon.com/Focusrite-Scarlett-18i20-Audio-Interface/dp/B018W7BW36
Rokit® 5 Generation Three Powered Studio Monitor,Audio Equipment,"KRK's Rokit 5 G3 (Generation 3) powered studio monitors offer professional performance and accuracy for recording, mixing, mastering and playback.",AudioMonitor.jpg,$300,2,https://www.amazon.com/KRK-RP5G3W-NA-Generation-Powered-Monitor/dp/B00HHZUTQQ/
Compressor,Audio Equipment,"The dbx 266xs 2-channel Compressor/Gate features dynamics control for any program material, program-adaptive expander/gates, LEDs for gain reduction, compression and gate threshold, and stereo or dual-mono operation.",Compressor.jpg,$200,1,https://dbxpro.com/en/products/266xs
AKAI MPK Mini,Audio Equipment,"MPK mini is an ultra-compact keyboard for singer-songwriters, beat makers, and electronic musicians to create music.",AKAIMPKMini.jpg,$100,1,https://www.amazon.com/Akai-Professional-MPK-Ultra-Portable-Controller/dp/B00IJ6QAO2/
Data Hub,Computer Accessories,The Anker 10 Port 60W Data Hub offers seven ports for high-speed data transfer of up to 5Gbps and three ports that charge of up to 2.1 amps.,DataHub.jpg,$40,1,https://www.amazon.com/gp/product/B00VDVCQ84/
Amplifier,Audio Equipment,"The Hafler P4000 is a three rack height, two channel professional power amplifier for studio monitoring, touring sound and fixed installations.",Amplifier.jpg,,1,
HDMI to USB3.0 Video Capture,Video Equipment,"The HDMI to USB3.0 Video Capture Dongle can capture one single channel HD HDMI video signals from sources such as Blu-Ray Player, Play Station, audio/video receiver, satellite receivers, SLR cameras with HDMI output. The input and output video signal can reach 1080p/60hz.",VideoCapture.jpg,$150,1,https://www.amazon.com/Capture-Rongyuxuan-USB3-0-Drive-Free-Windows/dp/B01JZAYQCS
Shure SM57 Microphone,Audio Equipment,The SM57 features a uniform cardioid pick-up pattern that isolates the main sound source and minimizes background noise.,ShureSM57Microphone.jpg,$100,1,https://www.amazon.com/Shure-SM57-LC-Cardioid-Dynamic-Microphone/dp/B0000AQRST/
Shure SM58 Microphone,Audio Equipment,"The Shure SM58 Dynamic Vocal Microphone utilizes a highly effective, built-in, spherical filter that minimizes wind and breath pop noise while the cardioid pickup pattern isolates the main sound source and minimizes unwanted background noise.",ShureSM58Microphone.jpg,$100,2,https://www.amazon.com/Shure-SM58-LC-Cardioid-Microphone-%20without/dp/B000CZ0R42/
Rode NT1A Microphone,Audio Equipment,"The Rode NT1A diaphragm 1"" cardioid condenser microphone features low noise and delivers warmth and extended dynamic range. A studio grade pop shield, shock mount, and dust cover are included.",RodeNT1AMicrophone.jpg,$230,1,http://www.rode.com/microphones/nt1-a
Pop Filter,Audio Equipment,The Marshall PF-002 pop filter helps improve the sound quality of the recorded voice by reducing popping sounds during recordings.,PopFilter.jpg,$30,3,https://www.bswusa.com/Pop-Filters-Marshall-PF-002-P3452.aspx
