item,category,description,image,replacement_cost,quantity,product_link
"Microphone Stands, Table",Audio Equipment,"The On-Stage DS300B Posi-Lok 7"" Mini Desktop Microphone Boom Stand provides stability, vibration dampening, and a wide range of angle positions.",MicrophoneStandTable.jpg,$20,1,https://www.bswusa.com/Microphone-Stands-On-Stage-DS300B-P3919.aspx
"Microphone Stands, Floor",Audio Equipment,"The On-Stage MS7700B Tripod Microphone Stand features steel-reinforced plastic leg housing offers less weight and more strength and adjustable height from 32"" to 61.5"".",MicrophoneStandFloor.jpg,$20,1,https://www.amazon.com/Stage-MS7700B-Tripod-Microphone-Stand/dp/B0013V1BYY/
Webcam,Computer Accessories,Logitech Brio supports ultra 4K HD video collaboration and features high dynamic range technology that automatically adjust to any lighting environment.,Webcam.jpg,$200,1,https://www.logitech.com/en-us/products/webcams/brio-4k-hdr-webcam.960-001105.html
4-Track Portable Recorder,Audio Equipment,"The Zoom H4n Pro 4-Track Portable Recorder features advanced X/Y microphones, natural-sounding preamps, and a 4-Channel Mode that records with the built-in microphones and two external inputs.",4-TrackPortableRecorder.jpg,$230,1,https://www.amazon.com/Zoom-H4N-Digital-Multitrack-Recorder/dp/B08SRDY9T6/
PodMic,Audio Equipment,"The PodMic is a broadcast-quality dynamic microphone optimized for incredible performance in podcasting, livestreaming, and other speech or vocal applications.",PodMic.jpg,$99,4,https://rode.com/en-us/microphones/broadcast/podmic?variant_sku=PODMIC
RØDECaster Pro II,Audio Equipment,"The RØDECaster Pro II is the ultimate audio production solution for content creators, including streamers, podcasters and musicians. Combining revolutionary features with superior sound quality, endless customisability and unmatched ease of use, the RØDECaster Pro II is all you will ever need to record incredible audio for your content.",RODECaster.jpg,$699,1,https://rode.com/en-us/interfaces-and-mixers/rodecaster-series/rodecaster-pro-ii?variant_sku=RCPII
NTH-100 headphones,Audio Equipment,The RØDE NTH-100 professional over-ear headphones offer exceptional sonic performance and superior comfort that inspires creativity.,NTH100.jpg,$149,4,https://rode.com/en-us/headphones/over-ear/nth-100?variant_sku=NTH100
Boom Microphone Stands,Audio Equipment,"The Rockville RVMIC1 v2 Pro Audio Tripod Microphone Stand is a step up from its predecessor, designed with both the seasoned musician and the passionate beginner in mind. The adjustable height ranges from 36 inches to 63 inches.",RVMIC1.jpg,$61,4,https://www.rockvilleaudio.com/-2-rvmic1/
Whisper Room Sound Isolation Booth,Audio Equipment,"The WhisperRoom sound isolation booth features a double-wall system that delivers exceptional noise isolation. Designed for musicians, producers, engineers, and content creators, it minimizes unwanted noise and room reflections, providing professional-level isolation and acoustic control. Ideal for recording, broadcasting, voiceovers, music practice, and more, the WhisperRoom ensures clean, echo-free sound for any project.",whisperroom.png,$20000,1,https://www.whisperroom.com/
Video Light Kit,Video Equipment,"The RGB LED Video Light Bi-Color Soft Light Panel GVM-880RS is suitable for professionals to record videos in Demo Hall, studios, and other places. The main features of the product are infinitely adjustable RGB color and dual color temperature characteristics, brightness/color temperature RGB hue/color purity can be controlled at will, color temperature range 3200K~5600K.",gvm880rs.jpg,$239,1,https://gvmled.myshopify.com/products/gvm-880rs-rgb-led-studio-3-video-light-kit
MDR-7506 Professional Stereo Monitor Headphones,Audio Equipment,"Sony’s range of professional headphones are engineered for a combination of strength, comfort and practicality, and are used daily in broadcast & recording studios worldwide. The MDR-7506 professional headphones come complete with protective carry pouch and gold-plated Unimatch 3.5mm/6.3mm adaptor.",SonyMDR7506.jpg,$99,4,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E
Rokit® 5 Generation Five Powered Studio Monitor,Audio Equipment,"Fifth Generation of KRK ROKIT Studio Monitors' onboard DSP technology provides three distinct Voicing Modes. Mix Mode, with flat frequency and phase response, is best for mixing, mastering, and critical listening. Create Mode is a more inspirational voicing best used for writing, producing, and casual listening. Focus Mode is a mid-focused voicing for critical analysis of the midrange band where vocals and most instruments have the most energy. The three Mix Modes eliminate the need for separate sets of monitors for different tasks.",KRK5Gen.jpg,$455,1,https://www.amazon.com/KRK-Generation-Powered-Studio-Monitor/dp/B0CYM2RH6W
Focusrite Scarlett 16i16 4th Gen USB Audio Interface,Audio Equipment,"16i16 is the compact, portable studio hub for artists and producers. Whether you're on the go, hopping from sessions, or recording at home, you'll always have access to two of our finest preamps, plus instrument, line, and MIDI connections for whatever the project throws your way: guitars, keys, synths, grooveboxes, and controllers. And if you're looking to expand your channel count, it's easily done with S/PDIF and ADAT.",16i16.png,$350,1,https://www.amazon.com/Focusrite-Interface-Songwriting-Production-Podcasting/dp/B0D7Y3XCGC
S8.4 Powered Studio Subwoofer,Audio Equipment,"The custom-voiced, glass-aramid woofer delivers tight, defined bass, while the Class-D power amplifier dramatically increases transient response, control and punch.",krk_s8_4.jpg,$369,1,https://www.amazon.com/KRK-Generation-Powered-Studio-Subwoofer/dp/B0939NWYJR
Clapperboard,Video Equipment,"Whether you're working on a film, TV series, advertising or video project, the slate film clapper is the perfect tool for accurately marking action scenes.",clapperboard.jpg,$19,1,https://www.amazon.com/Zacro-Acrylic-Clapboard-Magnetic-Blackboard/dp/B07PYSJRXR
Teleprompter,Video Equipment,"The NEEWER X12B is a simple, budget-friendly teleprompter designed for essential functionality without unnecessary extras, featuring a lightweight, durable aluminum build and a no-assembly, all-in-one design for presentations, courses, and tutorials. It offers a 12"" HD display with high light transmittance for clear readability up to 10 feet, plus Bluetooth remote and app control for easy script management. Foldable and portable, it supports tablets and phones (for text display only) up to specified sizes and is compatible with a wide range of cameras, with some size and lens limitations.",teleprompter.jpg,$90,1,https://www.amazon.com/X12B-Aluminum-Teleprompter-Compatible-Streaming/dp/B0CV3M9GPJ
