objectid,title,description,subjects,category,display_template,url
object001,Off-Campus Access,This guide provides information about using the University of Idaho Library from outside of the library building. ,Learn about the Library,libguide,,https://libguides.uidaho.edu/Distance_Education
object002,Citation Management Software,A guide to the commonly used citation - or reference - management software available to the U-Idaho community.,Citing sources,libguide,,https://libguides.uidaho.edu/citation-management
object003,Citing Sources,A guide to different citation styles and citation management software.,Citing sources,libguide,,https://libguides.uidaho.edu/citing
object004,Evaluating Information Sources,This guide provides information about the different techniques for information evaluation.,Evaluating sources,libguide,,https://libguides.uidaho.edu/evaluating_information
object005,Getting Started on Research in the UI Library,A general introduction to using the library's resources. ,Learn about the research process,libguide,,https://libguides.uidaho.edu/Engl102libraryunit
object006,Resources for Community Patrons,This guide is meant to connect community patrons to resources for research that are available to them through the University of Idaho Library. ,Learn about the Library,libguide,,https://libguides.uidaho.edu/communitypatrons
object007,Finding Articles in the U of I Library,This video shows how to find articles in the U of I Library.,Skills for research & assignments,video,,https://www.lib.uidaho.edu/find/find-articles.html
object008,Finding Books in the U of I Library,This video shows how to find books in the U of I Library.,Skills for research & assignments,tutorial,,https://www.lib.uidaho.edu/find/find-books.html
object009,"Popular, Scholarly, and Trade Articles","This video shows the differences between popular, scholarly, and trade articles.",Learn about the research process,tutorial,,https://uidaho.pressbooks.pub/libraryinstruction/chapter/popular-scholarly-and-trade-articles-new/
object010,Works Cited in MLA Citation Style Exercise,An activity for practicing using MLA style to cite sources.,Citing sources,tutorial,,https://uidaho.pressbooks.pub/libraryinstruction/chapter/works-cited-mla-citation/
object011,How to Read a Catalog Record,A tutorial on understanding catalog records.,Skills for research & assignments,tutorial,,https://uidaho.pressbooks.pub/libraryinstruction/chapter/how-to-read-a-catalog-record/
object012,Practicing Academic Integrity and Avoiding Plagiarism,A guide to practicing academic integrity in your writing and research.,Citing sources,libguide,,https://libguides.uidaho.edu/academicintegrity
object013,Resources for Alumni,This guide is here to help connect alumni to resources for research after they have graduated from the University of Idaho. ,Learn about the Library,libguide,,https://libguides.uidaho.edu/alumni
object014,"Essential library resources, services, and skills for graduate students (GSE)","Describe key library spaces for essential services, study, and research and experiential learning. Search and locate books, eBooks, and articles using the library catalog and databases. Utilize search strategies to find information resources. Identify other library resources for graduate students.",Learn about the Library;Get help from the Library;Skills for research & assignments,workshop,,https://www.youtube.com/watch?v=bvwWdZmI5_w
object015,6 Ways to Save Time with Zotero (Graduate Student Essentials),"Is Zotero the right citation manager for you? In this playlist, learn ways that Zotero can save you time and effort.",Citing sources,workshop,,https://www.youtube.com/playlist?list=PL3MdArvT5LVdyLhiGs6fNYeZqAUvIyk3x
object016,3 Simple Tips for Expanding Your Literature Review (Graduate Student Essentials),Learn more about: Saving searches and setting search alerts; Mining author networks; Conducting citation chaining; and Strategies for organizing and planning literature reviews.,Skills for research & assignments,workshop,,https://www.youtube.com/watch?v=tZJzDfda2pU
object017,"AI tools for research literature: ResearchRabbit, Scispace, & Elicit - Data Hub Tech Talk","New ""AI""-based tools are coming out every day. We will look at three tools, oriented-towards working with research literature, that are increasingly known in the academic community. We will discuss their strengths, weaknesses, limitations, and options.",Learn about the research process,workshop,,https://www.youtube.com/watch?v=gQ0WraebxWQ
object019,Getting started with Zotero (Graduate Student Essentials),"This workshop teaches participants how to download and use the free Zotero desktop app to collect, organize, and cite research materials. You will also learn how to use word processor plug-ins for seamless referencing and share ""group libraries"" for easy collaboration.",Citing sources,workshop,,https://youtu.be/5I2Q9wK_SPk
object020,Perma.cc: Fight Link Rot with Archived Web Citations,A workshop on archiving web links.,Citing sources,tutorial,,https://www.lib.uidaho.edu/media/workshops/UIdaho_permacc_workshop.pdf
object021,Intro to Web Archiving: Fight Link Rot and Preserve Your Citations,A workshop on archiving web links.,Citing sources,workshop,,https://evanwill.github.io/web-cites/
object022,Evaluation information using lateral reading,A tutorial on lateral reading technique.,Evaluating sources,tutorial,,https://www.lib.uidaho.edu/instruction/lateral/lateralreading.html 
object023,Image Illusions - Identifying and Debunking Image Misinformation Online,A tutorial on mis- and dis-information and general fact-checking,Evaluating sources,tutorial,,https://www.lib.uidaho.edu/instruction/image-illusions/ 
object024,Locate and use research assistance services,"The library can be a confusing place. If you ever need help figuring out how to best use our many resources, feel free to contact our reference librarians by chat, text, email or appointment.",Get help from the Library,service,,https://www.lib.uidaho.edu/help/
object025,Request items through Interlibrary Loan,"Interlibrary Loan (ILL) is a resource sharing service that allows U of I patrons to request materials that are neither owned by the U of I Library, nor available through Summit.",Get help from the Library,service,,https://www.lib.uidaho.edu/services/ill/
object026,Finding Special Collections Archival Records at the University of Idaho,"This tutorial provides a step-by-step guide to using online finding aids and the Archives West platform to locate primary sources, like personal papers, corporate records, and historic photos.",Get help from the Library,tutorial,,https://youtu.be/P_aH4S3MZrg?si=W4FuO0eIO8p0uY2V
object027,How to Use Google Scholar for Academic Research,"Learn how to effectively use Google Scholar to find journal articles, theses, and conference papers.",Skills for research & assignments,tutorial,,https://youtu.be/QE-ImTe18Hw
object028,How to Use the Primo Research Assistant ,Discover how to use the AI-powered Primo Research Assistant to find verified academic sources.,Skills for research & assignments,tutorial,,https://youtu.be/qVfxfcNUNXg?si=7xEchETvHWqEMjxJ
object029,Introduction to Library Databases,Learn how to find discipline-specific library databases at the University of Idaho to elevate your academic research.,Skills for research & assignments,tutorial,,https://youtu.be/ibpVS-VFPkM?si=M4_V-3pnSmWtk132
