title,description,link,popularity-rank
Articles & Research Databases,"Search for peer-reviewed articles, popular articles, and other research materials using our databases.",/find/articles.html,1
Books and Ebooks,Search our catalog for books and ebooks.,/find/books.html,2
Theses & Dissertations,"Browse and search over 10,000 records for Theses and Dissertations completed at the University of Idaho.",/find/etds.html,3
Digital Collections,"Browse and search our digital collections of historical photographs, documents, and other rare and unique materials.",https://www.lib.uidaho.edu/digital/,4
Events,"View our calendar to find library events from weekly workshops to annual book readings, from academic conferences to Special Collections exhibits.",/events/,5
VERSO,"Search VERSO for University of Idaho research and creative output, plus web profiles for faculty, students, and staff.",https://verso.uidaho.edu/esploro/?institution=01ALLIANCE_UID,6
UniVERSO,"Use natural-language search to find University of Idaho researchers and expertise, powered by VERSO data and AI.",https://universo.uidaho.edu,7
Newspapers,The University of Idaho Library has a large collection of digital and print newspapers to use.,/find/newspapers.html,8
Geospatial Resources,"Browse and search our GIS and geospatial data and find out more about the software, communities, and learning opportunites available.",/find/geospatial/,9
Unique & Archival Material,"Search primary sources from Special Collections and Archives — personal papers, university records, rare books, and more.",/special-collections/searchtools.html,10
Loanable Equipment,Browse equipment that can be checked out to use in or outside of the library building.,/find/equipment-loans.html,11
DVDs & Streaming Video,Access our extensive collection of DVDs and streaming video for the classroom and personal use.,/find/video.html,12
Maps,"From the most up-to-date geospatial information to unique historical maps, our Cartographic Collections have you covered.",/find/maps/,13
Access Tools,A curated list of tools to help you access resources using both U of I library subscriptions and open access repositories.,/find/accesstools.html,14
Data,Discover data and data management resources to power your research.,/find/data.html,15
Purchase Request,"Not finding what you need? All members of the University of Idaho community are encouraged to suggest additions to our collections, such as books, ebooks, DVDs, or journals.",/find/request.html,16
Board Games,Learn more about our board game collection that you can checkout and play!,https://www.lib.uidaho.edu/games/,17
Government Documents,Browse and search U.S. Government Documents for the State of Idaho.,/find/govdocs/,18
Encyclopedias & Other Reference Resources,"Our reference resources include encyclopedias, dictionaries, gazeteers, glossaries, thesaurusii, indices, guide books, and more.",/find/encyclopedias.html,19
Journals,Search and browse for specific journals and magazines by title or subject (rather than individual articles).,https://alliance-uidaho.primo.exlibrisgroup.com/discovery/jsearch?vid=01ALLIANCE_UID:UID&lang=en,20
Research Guides,"Browse and search research guides to find research assistance, subject guides, and useful resources compiled by your friendly librarians at the University of Idaho.",https://libguides.uidaho.edu/,21
Research Tutorials,"Library tutorials and how-to guides for research tools, databases, and resource access, curated by our Instruction team.",/find/tutorials.html,22
