last,first,birth,death,author,title,vol,publisher,date,page,portrait,call_number,name,book,code
Sacajawea,,,,Altrusa Club of Boise,Biographies of Idaho Women,,Boise,1979,,,Day-NW F745A4 1979,Sacajawea,"Altrusa Club of Boise. Biographies of Idaho Women (Boise), 1979. ",Altrusa
Joseph (Nez Perce Chief),,1840,1904,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,59,p,Day-NW F745B421989,Joseph (Nez Perce Chief),"Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 59. [includes portrait]",Beck
Lawyer (Nez Perce Chief),,1796,1876,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,65,p,Day-NW F745B421989,Lawyer (Nez Perce Chief),"Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 65. [includes portrait]",Beck
Sacajawea,,1790?,1812,"Beck, Richard J",100 Famous Idahoans,,"Moscow, ID",1989,88,p,Day-NW F745B421989,Sacajawea,"Beck, Richard J. 100 Famous Idahoans (Moscow, ID), 1989. p. 88. [includes portrait]",Beck
Sacajawea,,ca. 1787,1812,,Encyclopedia of Idaho,,"Santa Barbara, Somerset, Inc",2001,177,,Day-NW F744.E52 2001,Sacajawea,"Encyclopedia of Idaho (Santa Barbara, Somerset, Inc), 2001. p. 177. ",Encyclopedia
Mary Speciosa (Sister),,1851,1931,Idaho State Historical Society,Biennial Report,13,"Boise, Id.",1908-1950,186,,Idaho F741B5,Mary Speciosa (Sister),"Idaho State Historical Society. Biennial Report, v. 13 (Boise, Id.), 1908-1950. p. 186. ",IHS
Tyhee (Bannock Chief),,1840?,1924,Idaho State Historical Society,Biennial Report,9,"Boise, Id.",1908-1950,61,,Idaho F741B5,Tyhee (Bannock Chief),"Idaho State Historical Society. Biennial Report, v. 9 (Boise, Id.), 1908-1950. p. 61. ",IHS
Sacajawea,,1786,1884,"Penson-Ward, Betty",Who's Who Of Idaho Women of the Past,,"Boise, ID, Idaho Commission on Women's Programs",1981,30,,Idaho F745P4 1981,Sacajawea,"Penson-Ward, Betty. Who's Who Of Idaho Women of the Past (Boise, ID, Idaho Commission on Women's Programs), 1981. p. 30. ",Penson-Ward
Kalin (Crea),Rose E.,1890,,"Chedsey, Zona & Frei, Carolyn",Idaho County Voices: A people's history from the pioneers to the present,,Idaho county centennial committee,1990,208,,Day-NW F752.I2I32 1990,"Kalin (Crea), Rose E.","Chedsey, Zona & Frei, Carolyn. Idaho County Voices: A people's history from the pioneers to the present (Idaho county centennial committee), 1990. p. 208. ",Idaho County
Aaberg,Marion Ellen Long,,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,470,,Day-NW F752B677B43,"Aaberg, Marion Ellen Long","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 470. ",Bonner
Aavedal,George,1910,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,174,p,Day-NW F752B73H57 1987,"Aavedal, George","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 174. [includes portrait]",Boundary
Abas,Mathys,,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,215,p,Day-NW F746 C67,"Abas, Mathys","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 215. [includes portrait]",IdahoHodgepodge
Abas,Pamela (Pam)(Mrs. Mathys),,,"Cosho, Maude L",An Idaho Hodgepodge,,Boise,1981,215,p,Day-NW F746 C67,"Abas, Pamela (Pam)(Mrs. Mathys)","Cosho, Maude L. An Idaho Hodgepodge (Boise), 1981. p. 215. [includes portrait]",IdahoHodgepodge
Abbott,Stowell Edward,1902,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,273,,Day-NW F746B335,"Abbott, Stowell Edward","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 273. ",B&W
Abbott,John H,,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,447,,Day-NW F746H39,"Abbott, John H","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 447. ",HAWLEY
Abbs,Walter James,,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1302,,Day-NW F746F87,"Abbs, Walter James","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1302. ",FRENCH
Abel,William H,1866,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,156,,Day-NW Oversize F746I4,"Abel, William H","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 156. ",ILLUS
Abelard,Lucie,,,"Penson-Ward, Betty",Who's Who Of Idaho Women of the Past,,"Boise, ID, Idaho Commission on Women's Programs",1981,1,,Idaho F745P4 1981,"Abelard, Lucie","Penson-Ward, Betty. Who's Who Of Idaho Women of the Past (Boise, ID, Idaho Commission on Women's Programs), 1981. p. 1. ",PENSON-WARD
Abendroth,William H,1865,1936,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,133,,Idaho F741B5,"Abendroth, William H","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 133. ",IHS
Abercrombie,Young H,,1860,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,635,,Day-NW F746H39,"Abercrombie, Young H","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 635. ",HAWLEY
Abercrombie,Katherine L,,,"Penson-Ward, Betty",Who's Who Of Idaho Women of the Past,,"Boise, ID, Idaho Commission on Women's Programs",1981,1,,Idaho F745P4 1981,"Abercrombie, Katherine L","Penson-Ward, Betty. Who's Who Of Idaho Women of the Past (Boise, ID, Idaho Commission on Women's Programs), 1981. p. 1. ",PENSON-Ward
Abernathy,Henry H,,1834,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,708,,Day-NW Oversize F746I42,"Abernathy, Henry H","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 708. ",IDAHO
Abraham,Abraham,,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,174,p,Day-NW F752B73H57 1987,"Abraham, Abraham","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 174. [includes portrait]",Boundary
Abraham,William E,1881,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,983,,Day-NW F746F87,"Abraham, William E","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 983. ",FRENCH
Aby,Glenn,,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,174,,Day-NW F752B73H57 1987,"Aby, Glenn","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 174. ",Boundary
Achabal,Adolfo James,1922,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,111,p,Day-NW F746B335,"Achabal, Adolfo James","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 111. [includes portrait]",B&W
Acker,James S,1865,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,551,,Day-NW Oversize F746I42,"Acker, James S","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 551. ",IDAHO
Ackerman,Gary,1952,,,"History of Boundary County, Idaho",,"Bonners Ferry, Boundary County Historical Society",1987,174,p,Day-NW F752B73H57 1987,"Ackerman, Gary","History of Boundary County, Idaho (Bonners Ferry, Boundary County Historical Society), 1987. p. 174. [includes portrait]",Boundary
Ackerman,Pat,1947,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,107,p,Day-NW F745.R5,"Ackerman, Pat","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 107. [includes portrait]",Fiddlers
Ackerman,George,1867,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,776,,Day-NW F746F87,"Ackerman, George","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 776. ",FRENCH
Ackerman,B F,1857,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,615,,Day-NW F746H39,"Ackerman, B F","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 615. ",HAWLEY
Ackerman,W P,1857,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,640,,Day-NW F746H39,"Ackerman, W P","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 640. ",HAWLEY
Ackley,Daniel W,,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,590,,Day-NW F746H39,"Ackley, Daniel W","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 590. ",HAWLEY
Adair,Arthur P,1872,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,719,,Day-NW F746F87,"Adair, Arthur P","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 719. ",FRENCH
Adam,F Sprague,1895,,"Defenbach, Byron","Idaho, the place and its people",3,"Chicago, The American Historical Society, Inc.",1933,82,,Day-NW F746D36,"Adam, F Sprague","Defenbach, Byron. Idaho, the place and its people, v. 3 (Chicago, The American Historical Society, Inc.), 1933. p. 82. ",DEFENBACH
Adam,Ernest H,1856,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,722,,Day-NW F746F87,"Adam, Ernest H","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 722. ",FRENCH
Adam,Dave,1843,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,168,,Day-NW Oversize F746I42,"Adam, Dave","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 168. ",IDAHO
