last,first,birth,death,author,title,vol,publisher,date,page,portrait,call_number,name,book,code
Adams,William Clarence,1893,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,90,,Day-NW F746B335,"Adams, William Clarence","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 90. ",B&W
Adams,Lot,1850,,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,272,,Day-NW F752B6B56 1990,"Adams, Lot","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 272. ",Bingham
Adams,Samuel Ferry,1834,1920,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,272,,Day-NW F752B6B56 1990,"Adams, Samuel Ferry","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 272. ",Bingham
Adams,Ruth White,1901,,,"Beautiful Bonner: the history of Bonner County, Idaho",,"Dallas, Curtis Media",1991,205,p,Day-NW F752B677B43,"Adams, Ruth White","Beautiful Bonner: the history of Bonner County, Idaho (Dallas, Curtis Media), 1991. p. 205. [includes portrait]",Bonner
Adams,Robert W,1868,,"Defenbach, Byron","Idaho, the place and its people",2,"Chicago, The American Historical Society, Inc.",1933,56,,Day-NW F746D36,"Adams, Robert W","Defenbach, Byron. Idaho, the place and its people, v. 2 (Chicago, The American Historical Society, Inc.), 1933. p. 56. ",DEFENBACH
Adams,Lil,,,"Hart, Newell","Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era",,"Cache Valley Newsletter Pub. Co.Preston, Idaho",1973,296,p,Day-NW F752.F7H37 1973,"Adams, Lil","Hart, Newell. Hometown album : a pictorial history of Franklin County, Idaho, horse and buggy days and early auto era (Cache Valley Newsletter Pub. Co.Preston, Idaho), 1973. p. 296. [includes portrait]",Franklin
Adams,Louis Rudolph,1871,,"French, Hiram T",History of Idaho,3,Chicago The Lewis Pub. Co.,1914,1047,p,Day-NW F746F87,"Adams, Louis Rudolph","French, Hiram T. History of Idaho, v. 3 (Chicago The Lewis Pub. Co.), 1914. p. 1047. [includes portrait]",FRENCH
Adams,E. Andrew,1881,1963,,Gems of our Valley,,"Grace, Grace Literary Club",1977,323,p,Day-NW F752C3S55,"Adams, E. Andrew","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 323. [includes portrait]",Gems
Adams,Annie Laura,1883,1968,,Gems of our Valley,,"Grace, Grace Literary Club",1977,323,,Day-NW F752C3S55,"Adams, Annie Laura","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 323. ",Gems
Adams,Hyrum Rufus,1877,1944,,Gems of our Valley,,"Grace, Grace Literary Club",1977,323,,Day-NW F752C3S55,"Adams, Hyrum Rufus","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 323. ",Gems
Adams,Alma J,1909,1970,,Gems of our Valley,,"Grace, Grace Literary Club",1977,501,p,Day-NW F752C3S55,"Adams, Alma J","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 501. [includes portrait]",Gems
Adams,Evan,1908,,,Gems of our Valley,,"Grace, Grace Literary Club",1977,501,p,Day-NW F752C3S55,"Adams, Evan","Gems of our Valley (Grace, Grace Literary Club), 1977. p. 501. [includes portrait]",Gems
Adams,Charles F,1886,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,982,,Day-NW F746H39,"Adams, Charles F","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 982. ",HAWLEY
Adams,Frank H,1881,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,332,p,Day-NW F746H39,"Adams, Frank H","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 332. [includes portrait]",HAWLEY
Adams,Gardner G,1858,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,32,,Day-NW F746H39,"Adams, Gardner G","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 32. ",HAWLEY
Adams,Henry I,1887,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,596,,Day-NW F746H39,"Adams, Henry I","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 596. ",HAWLEY
Adams,John D,1873,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,530,p,Day-NW F746H39,"Adams, John D","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 530. [includes portrait]",HAWLEY
Adams,Joseph S,1863,1936,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,420,,Day-NW F746H39,"Adams, Joseph S","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 420. ",HAWLEY
Adams,Louis Rudolph,1871,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,216,,Day-NW F746H39,"Adams, Louis Rudolph","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 216. ",HAWLEY
Adams,Saretta Piercy Gilderoy,,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,313,,Day-NW F746H39,"Adams, Saretta Piercy Gilderoy","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 313. ",HAWLEY
Adams,Walter C,1892,,"Hawley, James H",History of Idaho; The Gem of the Mountains,3,"Chicago, S. J. Clarke Pub. Co.",1920,806,,Day-NW F746H39,"Adams, Walter C","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 3 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 806. ",HAWLEY
Adams,William E,1859,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,573,,Day-NW F746H39,"Adams, William E","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 573. ",HAWLEY
Adams,William J N,1870,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,621,,Day-NW F746H39,"Adams, William J N","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 621. ",HAWLEY
Adams,Willoughby,,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,308,,Day-NW F746H39,"Adams, Willoughby","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 308. ",HAWLEY
Adams,Peter,1837,,,Illustrated History of the State of Idaho,,"Chicago, The Lewis Pub. Co.",1899,456,,Day-NW Oversize F746I42,"Adams, Peter","Illustrated History of the State of Idaho (Chicago, The Lewis Pub. Co.), 1899. p. 456. ",IDAHO
Adams,J. C,1868,1936,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,133,,Idaho F741B5,"Adams, J. C","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 133. ",IHS
Adams,Joseph S,1863,1936,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,133,,Idaho F741B5,"Adams, Joseph S","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 133. ",IHS
Adams,Milo H,1834,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,208,,Day-NW Oversize F746I4,"Adams, Milo H","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 208. ",ILLUS
Adams,Schuyler J,1860,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,157,,Day-NW Oversize F746I4,"Adams, Schuyler J","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 157. ",ILLUS
Adams,Austin,1834,1915,"Ingle, Gerald",Gleanings from Big Bear Ridge,,"Moscow, Latah County Historical Society",1982,67,,Day-NW F752B5G7,"Adams, Austin","Ingle, Gerald. Gleanings from Big Bear Ridge (Moscow, Latah County Historical Society), 1982. p. 67. ",Ingle
Adams,Peter,1837,,,"Historical, Descriptive and Commercial Directory of Owyhee County, Idaho",,,1898,99,,Day-NW F752O97H6,"Adams, Peter","Historical, Descriptive and Commercial Directory of Owyhee County, Idaho, 1898. p. 99. ",Owyhee
Adams,Aaron Arthur,1876,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,490,,Day-NW F745P96,"Adams, Aaron Arthur","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 490. ",PROG
Adams,Daniel H,1855,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,475,,Day-NW F745P96,"Adams, Daniel H","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 475. ",PROG
Adams,Samuel F,1834,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,22,,Day-NW F745P96,"Adams, Samuel F","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 22. ",PROG
Adams,William,1854,,,"Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho",,"Chicago, A. W. Bowen & Co.",1904,23,,Day-NW F745P96,"Adams, William","Progressive Men of Bannock, Bear Lake, Bingham, Fremont and Oneida Counties, Idaho (Chicago, A. W. Bowen & Co.), 1904. p. 23. ",PROG
Adams,Aaron Arthur,1876,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,490,,Day-NW F745P97,"Adams, Aaron Arthur","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 490. ",PROG S
Adams,Daniel H,1855,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,475,,Day-NW F745P97,"Adams, Daniel H","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 475. ",PROG S
Adams,Samuel F,1834,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,665,,Day-NW F745P97,"Adams, Samuel F","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 665. ",PROG S
Adams,William,1854,,,Progressive men of Southern Idaho,,"Chicago, W. A. Bowen & Co.",1904,670,,Day-NW F745P97,"Adams, William","Progressive men of Southern Idaho (Chicago, W. A. Bowen & Co.), 1904. p. 670. ",PROG S
Adams Jr.,John,1858,1934,"Estes, Virginia",Pause for Reflection: Cassia County,,"Provo, J. Grant Stevenson",1977,179,,Day-NW F752C3E74,"Adams Jr., John","Estes, Virginia. Pause for Reflection: Cassia County (Provo, J. Grant Stevenson), 1977. p. 179. ",Pause
Adamson,Joseph Warren,1881,,"Beal, Merrill D","History of Idaho, by Merrill Beal and Merle W. Wells",3,"New York, Lewis Historical Pub. Co.",1959,370,p,Day-NW F746B335,"Adamson, Joseph Warren","Beal, Merrill D. History of Idaho, by Merrill Beal and Merle W. Wells, v. 3 (New York, Lewis Historical Pub. Co.), 1959. p. 370. [includes portrait]",B&W
Adamson,John,1849,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,870,p,Day-NW F746F87,"Adamson, John","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 870. [includes portrait]",FRENCH
Adamson,William Lennox,1802,,"Hawley, James H",History of Idaho; The Gem of the Mountains,4,"Chicago, S. J. Clarke Pub. Co.",1920,575,,Day-NW F746H39,"Adamson, William Lennox","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 4 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 575. ",HAWLEY
Addie,James M,1851,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,1202,,Day-NW Oversize F746I4,"Addie, James M","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 1202. ",ILLUS
Addington,James,,1909,"Diffendaffer, Marguerite L.",Council Valley: Here they labored,,The Worthwhile Club of Council Idaho,1977,29,,Day-NW F752A3D54,"Addington, James","Diffendaffer, Marguerite L.. Council Valley: Here they labored (The Worthwhile Club of Council Idaho), 1977. p. 29. ",Council
Addington,Hugh,,,"Foote, Rebeca N.",Gift from grace,,Boise? Idaho : s.n,1980,33,,Day-NW F752B67F66,"Addington, Hugh","Foote, Rebeca N.. Gift from grace (Boise? Idaho : s.n), 1980. p. 33. ",Grace
Addington,Mary C,1860,1935,Idaho State Historical Society,Biennial Report,15,"Boise, Id.",1908-1950,133,,Idaho F741B5,"Addington, Mary C","Idaho State Historical Society. Biennial Report, v. 15 (Boise, Id.), 1908-1950. p. 133. ",IHS
Addington,Oscar,1874,,,"Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties",,Western Historical Pub. Co.,1903,195,,Day-NW Oversize F746I4,"Addington, Oscar","Illustrated History of North Idaho embracing Nez Perces, Idaho, Latah, Kootenai and Shoshone Counties (Western Historical Pub. Co.), 1903. p. 195. ",ILLUS
Adelaar,Jan Hendrik,,1929,,Bingham County History,,"Blackfoot, Bingham Co. Historical Society",1990,273,,Day-NW F752B6B56 1990,"Adelaar, Jan Hendrik","Bingham County History (Blackfoot, Bingham Co. Historical Society), 1990. p. 273. ",Bingham
Ademann,Richard C,1846,,"French, Hiram T",History of Idaho,2,Chicago The Lewis Pub. Co.,1914,676,p,Day-NW F746F87,"Ademann, Richard C","French, Hiram T. History of Idaho, v. 2 (Chicago The Lewis Pub. Co.), 1914. p. 676. [includes portrait]",FRENCH
Ademann,Richard C,1846,,"Hawley, James H",History of Idaho; The Gem of the Mountains,2,"Chicago, S. J. Clarke Pub. Co.",1920,136,p,Day-NW F746H39,"Ademann, Richard C","Hawley, James H. History of Idaho; The Gem of the Mountains, v. 2 (Chicago, S. J. Clarke Pub. Co.), 1920. p. 136. [includes portrait]",HAWLEY
Ader,Wendell,1944,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,84,p,Day-NW F745.R5,"Ader, Wendell","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 84. [includes portrait]",Fiddlers
Ader,Karen,1946,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,84,p,Day-NW F745.R5,"Ader, Karen","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 84. [includes portrait]",Fiddlers
Ader,Randy Lee,1968,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,84,p,Day-NW F745.R5,"Ader, Randy Lee","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 84. [includes portrait]",Fiddlers
Ader,Byron Leroy,1971,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,84,p,Day-NW F745.R5,"Ader, Byron Leroy","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 84. [includes portrait]",Fiddlers
Ader,Grant,1925,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,114,p,Day-NW F745.R5,"Ader, Grant","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 114. [includes portrait]",Fiddlers
Ader,Wanona Todd,1924,,,Idaho Oldtime Fiddlers,3,The Idaho Oldtime Fiddlers Association,1963-84,114,p,Day-NW F745.R5,"Ader, Wanona Todd","Idaho Oldtime Fiddlers, v. 3 (The Idaho Oldtime Fiddlers Association), 1963-84. p. 114. [includes portrait]",Fiddlers
