title,description,link,image-src,popularity-rank
Digital Collections,"A growing, searchable archive of rare and unique materials, with a focus on Idaho history and jazz.",https://www.lib.uidaho.edu/digital/,https://www.lib.uidaho.edu/media/collections/fatmen.jpg,1
Special Collections & Archives,"Primary sources on Idaho and Pacific Northwest history — personal papers, university archives, rare books, and photographs.",/special-collections/,https://www.lib.uidaho.edu/media/collections/oldadmin.jpg,2
Theses & Dissertations,"Search over 10,000 University of Idaho theses and dissertations, with full text available for many recent titles.",/find/etds.html,https://www.lib.uidaho.edu/media/collections/stacks.jpg,3
Maps,"Atlases, topographic maps of Idaho and the U.S., and historic aerial photographs, in the map room on the first floor.",/find/maps/,https://www.lib.uidaho.edu/media/collections/map.jpeg,4
"VERSO","An archive of University of Idaho research and creative work, with web profiles for faculty, students, and staff.",https://verso.uidaho.edu/esploro/?institution=01ALLIANCE_UID,https://www.lib.uidaho.edu/media/collections/vivo.jpeg,5
UniVERSO,An AI-powered search tool for finding University of Idaho researchers and expertise using natural-language questions.,https://universo.uidaho.edu,,6
Gary Strong Curriculum Center,"Curriculum materials and teaching resources for the College of Education, formerly known as the IMTC.",/services/curriculumcenter.html,https://www.lib.uidaho.edu/media/collections/gscc_sm.jpg,7
Board Game Collection,"Board and card games available to check out for game nights, team-building, or classroom use.",https://www.lib.uidaho.edu/games/,https://www.lib.uidaho.edu/media/collections/board-game.jpg,8
Gov. Documents,"All federal publications, maps, and electronic data distributed by the Government Printing Office — 1.7 million items.",/find/govdocs/,https://www.lib.uidaho.edu/media/collections/congress.jpeg,9
INSIDE Idaho,"A clearinghouse for Idaho's digital geospatial data, tools, and expertise.",https://www.insideidaho.org/,https://www.lib.uidaho.edu/media/collections/moscow_topo.jpeg,10
International Jazz Collections,"The Pacific Northwest's premier jazz archive, including Lionel Hampton's personal papers.",https://www.ijc.uidaho.edu/,https://www.lib.uidaho.edu/media/collections/008.jpg,11
American Language and Cultures Program,"Materials for English-language learners — grammar and vocabulary texts plus Hi-Lo literature for adults building reading skills.",/collections/details.html#alcp,https://www.lib.uidaho.edu/media/collections/alcp.jpg,12
Alfred W. Bowers Laboratory of Anthropology,"Over 4,000 anthropology books and manuscripts, searchable in the Library catalog and housed in the Sweet Avenue lab.",/collections/details.html#bowers-lab,https://www.lib.uidaho.edu/media/collections/anthro_aac.jpg,13
Asian Studies Collection,"Books, DVDs, and reference materials on Asian politics, culture, and literature in Chinese, Japanese, and English.",/collections/details.html#asian-studies,https://www.lib.uidaho.edu/media/collections/uici-library.jpg,14
Herbarium Collection,"Field guides, flora keys, and technical reports from the Stillinger Herbarium's botanical library.",/collections/details.html#herbarium,https://www.lib.uidaho.edu/media/collections/herbarium.jpg,15
